45883737W;1234WYN;2020-11-20;2020-11-27
45883737W;5555TTT;2020-11-21;2020-11-27
44558877B;5555TTT;2020-11-28;2020-11-29
44558877B;1234WYN;2020-12-04;2020-12-06
44558877B;1234WYN;2020-11-27;2020-12-06
45883737W;5555TTT;2020-11-21;2020-11-28
45883737W;5555TTT;2020-11-20;2020-11-27
45883737W;5555TTT;2020-11-21;2020-11-24
45883737W;5555TTT;2020-11-20;2020-11-28
45883737W;1234WYN;2020-11-20;2020-11-28
44558877B;1234WYN;2021-12-10;2021-12-30
45883737W;5555TTT;2020-12-16;2020-12-17
45883737W;1234WYN;2020-12-23;2021-01-01
46378493M;3333TTT;2020-12-24;2020-12-25
